Date,Open,High,Low,Close,Adj Close,Volume
2019-01-03,128.139999,128.270004,125.360001,125.720001,113.138344,8654500
2019-01-04,127.120003,128.649994,126.730003,127.830002,115.037170,8831700
2019-01-07,127.629997,128.350006,126.800003,127.010002,114.299225,8404700
2019-01-08,128.179993,130.500000,127.730003,129.960007,116.954002,9351600
2019-01-09,129.830002,130.240005,128.330002,128.929993,116.027077,7403500
2019-01-10,127.690002,129.889999,127.690002,129.710007,116.729027,6224400
2019-01-11,129.000000,129.839996,128.309998,129.750000,116.765015,5300400
2019-01-14,128.740005,128.960007,127.589996,128.279999,115.442139,7374400
2019-01-15,128.520004,129.490005,127.650002,129.360001,116.414055,5194400
2019-01-16,129.410004,129.410004,127.900002,128.039993,115.226158,6264200
2019-01-17,127.709999,129.520004,127.459999,129.089996,116.171082,7632000
2019-01-18,129.899994,131.179993,129.449997,130.690002,117.610970,10593000
2019-01-22,128.199997,129.500000,127.010002,128.800003,115.910080,10568100
2019-01-23,128.500000,129.300003,127.930000,128.800003,115.910080,9267800
2019-01-24,128.490005,128.699997,125.000000,127.029999,114.317230,9917000
2019-01-25,128.130005,128.449997,127.029999,128.229996,115.397133,7585100
2019-01-28,127.809998,129.149994,127.290001,128.990005,116.081085,6927700
2019-01-29,128.949997,130.470001,128.500000,130.330002,117.286987,6669300
2019-01-30,130.369995,132.190002,130.300003,131.639999,118.465889,7299300
2019-01-31,131.630005,135.190002,130.869995,133.080002,119.761787,17298100
2019-02-01,134.020004,134.690002,133.470001,134.199997,120.769646,9575200
2019-02-04,133.960007,134.149994,132.210007,132.880005,119.581795,7759000
2019-02-05,133.520004,133.880005,132.750000,132.880005,119.581795,6449800
2019-02-06,133.080002,133.570007,132.300003,133.000000,119.689774,5066100
2019-02-07,132.449997,132.639999,131.529999,132.050003,118.834854,6085300
2019-02-08,131.949997,132.460007,131.539993,132.399994,119.149811,4436700
2019-02-11,132.309998,132.669998,131.259995,132.000000,118.789833,4962200
