Date,CPI
2013-08-21,233.456
2013-08-22,233.456
2013-08-23,233.456
2013-08-24,233.456
2013-08-25,233.456
2013-08-26,233.456
2013-08-27,233.456
2013-08-28,233.456
2013-08-29,233.456
2013-08-30,233.456
2013-08-31,233.456
2013-09-01,233.544
2013-09-02,233.544
2013-09-03,233.544
2013-09-04,233.544
2013-09-05,233.544
2013-09-06,233.544
2013-09-07,233.544
2013-09-08,233.544
2013-09-09,233.544
2013-09-10,233.544
2013-09-11,233.544
2013-09-12,233.544
2013-09-13,233.544
2013-09-14,233.544
2013-09-15,233.544
2013-09-16,233.544
2013-09-17,233.544
2013-09-18,233.544
2013-09-19,233.544
2013-09-20,233.544
2013-09-21,233.544
2013-09-22,233.544
2013-09-23,233.544
2013-09-24,233.544
2013-09-25,233.544
2013-09-26,233.544
2013-09-27,233.544
2013-09-28,233.544
2013-09-29,233.544
2013-09-30,233.544
2013-10-01,233.669
2013-10-02,233.669
2013-10-03,233.669
2013-10-04,233.669
2013-10-05,233.669
2013-10-06,233.669
2013-10-07,233.669
2013-10-08,233.669
2013-10-09,233.669
2013-10-10,233.669
2013-10-11,233.669
2013-10-12,233.669
2013-10-13,233.669
2013-10-14,233.669
2013-10-15,233.669
2013-10-16,233.669
2013-10-17,233.669
2013-10-18,233.669
2013-10-19,233.669
2013-10-20,233.669
2013-10-21,233.669
2013-10-22,233.669
2013-10-23,233.669
2013-10-24,233.669
2013-10-25,233.669
2013-10-26,233.669
2013-10-27,233.669
2013-10-28,233.669
2013-10-29,233.669
2013-10-30,233.669
2013-10-31,233.669
2013-11-01,234.1
2013-11-02,234.1
2013-11-03,234.1
2013-11-04,234.1
2013-11-05,234.1
2013-11-06,234.1
2013-11-07,234.1
2013-11-08,234.1
2013-11-09,234.1
2013-11-10,234.1
2013-11-11,234.1
2013-11-12,234.1
2013-11-13,234.1
2013-11-14,234.1
2013-11-15,234.1
2013-11-16,234.1
2013-11-17,234.1
2013-11-18,234.1
2013-11-19,234.1
2013-11-20,234.1
2013-11-21,234.1
2013-11-22,234.1
2013-11-23,234.1
2013-11-24,234.1
2013-11-25,234.1
2013-11-26,234.1
2013-11-27,234.1
2013-11-28,234.1
2013-11-29,234.1
2013-11-30,234.1
2013-12-01,234.719
2013-12-02,234.719
2013-12-03,234.719
2013-12-04,234.719
2013-12-05,234.719
2013-12-06,234.719
2013-12-07,234.719
2013-12-08,234.719
2013-12-09,234.719
2013-12-10,234.719
2013-12-11,234.719
2013-12-12,234.719
2013-12-13,234.719
2013-12-14,234.719
2013-12-15,234.719
2013-12-16,234.719
2013-12-17,234.719
2013-12-18,234.719
2013-12-19,234.719
2013-12-20,234.719
2013-12-21,234.719
2013-12-22,234.719
2013-12-23,234.719
2013-12-24,234.719
2013-12-25,234.719
2013-12-26,234.719
2013-12-27,234.719
2013-12-28,234.719
2013-12-29,234.719
2013-12-30,234.719
2013-12-31,234.719
2014-01-01,235.288
2014-01-02,235.288
2014-01-03,235.288
2014-01-04,235.288
2014-01-05,235.288
2014-01-06,235.288
2014-01-07,235.288
2014-01-08,235.288
2014-01-09,235.288
2014-01-10,235.288
2014-01-11,235.288
2014-01-12,235.288
2014-01-13,235.288
2014-01-14,235.288
2014-01-15,235.288
2014-01-16,235.288
2014-01-17,235.288
2014-01-18,235.288
2014-01-19,235.288
2014-01-20,235.288
2014-01-21,235.288
2014-01-22,235.288
2014-01-23,235.288
2014-01-24,235.288
2014-01-25,235.288
2014-01-26,235.288
2014-01-27,235.288
2014-01-28,235.288
2014-01-29,235.288
2014-01-30,235.288
2014-01-31,235.288
2014-02-01,235.547
2014-02-02,235.547
2014-02-03,235.547
2014-02-04,235.547
2014-02-05,235.547
2014-02-06,235.547
2014-02-07,235.547
2014-02-08,235.547
2014-02-09,235.547
2014-02-10,235.547
2014-02-11,235.547
2014-02-12,235.547
2014-02-13,235.547
2014-02-14,235.547
2014-02-15,235.547
2014-02-16,235.547
2014-02-17,235.547
2014-02-18,235.547
2014-02-19,235.547
2014-02-20,235.547
2014-02-21,235.547
2014-02-22,235.547
2014-02-23,235.547
2014-02-24,235.547
2014-02-25,235.547
2014-02-26,235.547
2014-02-27,235.547
2014-02-28,235.547
2014-03-01,236.028
2014-03-02,236.028
2014-03-03,236.028
2014-03-04,236.028
2014-03-05,236.028
2014-03-06,236.028
2014-03-07,236.028
2014-03-08,236.028
2014-03-09,236.028
